Term1,Term2,score
psoriasis,atherosclerosis,0.12216216216216216
propranolol,bactroban,0.22972972972972974
toothache,hytrin,0.161981981981982
dermatomyositis,myopathy,0.7347747747747748
starvation,cisplatin,0.22990990990990992
anovulation,amenorrhoea,0.7924324324324324
agranulocytosis,anemia,0.6726126126126126
torticollis,spasm,0.7956756756756757
tiredness,calan,0.16846846846846847
calamine,bleomycin,0.1636036036036036
hemochromatosis,vermox,0.15297297297297296
anovulation,sinemet,0.23513513513513515
hyperextension,bacitracin,0.18828828828828828
albuterol,serevent,0.6843243243243243
arthritis,amyloidoses,0.521981981981982
cyanosis,primatine,0.32900900900900903
pepcid,zantac,0.898918918918919
carsickness,nausea,0.8423423423423423
meningism,zovirax,0.5142342342342342
dyspnea,agitation,0.4275675675675676
encephalitis,headache,0.7585585585585586
epilepsy,actonel,0.2372972972972973
